"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\accounting\templates\accounting\person-categories.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 12, 31
"d:\repo\Phoenix11\accounting\templates\accounting\product.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
"d:\repo\Phoenix11\accounting\templates\accounting\products.html", "HTML", 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"d:\repo\Phoenix11\accounting\templates\accounting\search.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 0, 29, 86
"d:\repo\Phoenix11\accounting\templates\accounting\selection.html", "HTML", 0, 193, 0, 0, 0, 0, 0, 0, 63, 256
"d:\repo\Phoenix11\accounting\templates\accounting\service.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"d:\repo\Phoenix11\accounting\templates\accounting\services.html", "HTML", 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"d:\repo\Phoenix11\accounting\templates\accounting\settings.html", "HTML", 0, 114, 0, 0, 0, 0, 0, 0, 7, 121
"d:\repo\Phoenix11\accounting\templates\accounting\settings33.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"d:\repo\Phoenix11\accounting\templates\accounting\tree-chart.html", "HTML", 0, 90, 0, 0, 0, 0, 0, 0, 33, 123
"d:\repo\Phoenix11\accounting\templates\accounting\tree-list.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"d:\repo\Phoenix11\accounting\templatetags\account_code_seperator.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\repo\Phoenix11\accounting\templatetags\to_card_no.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\repo\Phoenix11\accounting\templatetags\to_price_color_btn.py", "Python", 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"d:\repo\Phoenix11\accounting\templatetags\to_variz_text.py", "Python", 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"d:\repo\Phoenix11\accounting\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\repo\Phoenix11\accounting\urls.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 49, 126
"d:\repo\Phoenix11\accounting\views.py", "Python", 946, 0, 0, 0, 0, 0, 0, 27, 276, 1249
"d:\repo\Phoenix11\archive\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\archive\admin.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\repo\Phoenix11\archive\apis.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\repo\Phoenix11\archive\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\repo\Phoenix11\archive\forms.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\repo\Phoenix11\archive\migrations\0001_initial.py", "Python", 42, 0, 0, 0, 0, 0, 0, 1, 7, 50
"d:\repo\Phoenix11\archive\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\archive\models.py", "Python", 58, 0, 0, 0, 0, 0, 0, 23, 13, 94
"d:\repo\Phoenix11\archive\repo.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 13, 117
"d:\repo\Phoenix11\archive\serializers.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\repo\Phoenix11\archive\templates\archive\file.html", "HTML", 0, 55, 0, 0, 0, 0, 0, 0, 33, 88
"d:\repo\Phoenix11\archive\templates\archive\folder.html", "HTML", 0, 165, 0, 0, 0, 0, 0, 0, 17, 182
"d:\repo\Phoenix11\archive\templates\archive\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\archive\templates\archive\index.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"d:\repo\Phoenix11\archive\templates\archive\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\archive\templates\archive\search.html", "HTML", 0, 74, 0, 0, 0, 0, 0, 0, 21, 95
"d:\repo\Phoenix11\archive\templates\archive\wide-layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\archive\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\archive\urls.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\repo\Phoenix11\archive\views.py", "Python", 119, 0, 0, 0, 0, 0, 0, 1, 22, 142
"d:\repo\Phoenix11\attachments\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\attachments\admin.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\repo\Phoenix11\attachments\apis.py", "Python", 209, 0, 0, 0, 0, 0, 0, 2, 29, 240
